City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,luderitz,-26.6481,15.1594,19.85,51,26,7.99,NA,1731541956
248,fort st. john,56.2499,-120.8529,-5.06,86,100,5.14,CA,1731541659
249,hamilton,39.1834,-84.5333,14.47,62,0,6.69,US,1731541764
250,lebu,-37.6167,-73.65,12.99,86,84,6.59,CL,1731541959
251,lensk,60.7253,114.9278,-18.55,99,88,2.23,RU,1731541960
252,manokwari,-0.8667,134.0833,28.15,73,100,1.77,ID,1731541961
253,ma'an,26.9775,110.7211,19.23,76,6,0.96,CN,1731541962
254,shiprock,36.7855,-108.687,7.48,42,8,0.39,US,1731541964
255,ghat,24.9647,10.1728,18.14,17,0,1.41,LY,1731541965
256,bikenibeu village,1.3673,173.1241,31.98,66,20,5.14,KI,1731541966
257,lewistown,40.5992,-77.5714,3.42,100,94,1.34,US,1731541967
258,mugia,43.1041,-9.2179,13.84,71,79,9.25,ES,1731541968
259,amos,48.5669,-78.1162,-1.06,64,21,3.59,CA,1731541969
260,christiansburg,37.1298,-80.4089,7.01,56,0,1.54,US,1731541970
261,kon tum,14.35,108.0,20.69,94,44,0.48,VN,1731541971
262,bulungu,-4.55,18.6,20.87,97,92,0.82,CD,1731541972
263,kashgar,39.4547,75.9797,8.56,25,20,3.0,CN,1731541973
264,zelenogorskiy,55.0333,87.0,-9.43,93,100,4.15,RU,1731541975
265,cidreira,-30.1811,-50.2056,18.36,67,0,3.86,BR,1731541976
266,east london,-33.0153,27.9116,16.74,69,100,1.64,ZA,1731541977
267,aitape,-3.1374,142.3475,30.05,63,78,0.96,PG,1731541978
268,olonkinbyen,70.9221,-8.7187,-2.14,63,5,14.07,SJ,1731541979
269,kidal,18.4411,1.4078,23.76,20,0,4.14,ML,1731541980
270,ghadamis,30.1337,9.5007,17.01,44,10,3.92,LY,1731541981
271,chaihe,44.7667,129.7,2.56,73,100,1.46,CN,1731541982
272,tsetserleg,47.475,101.4542,-3.9,50,9,2.64,MN,1731541984
273,san pedro pochutla,15.7333,-96.4667,28.17,85,54,1.56,MX,1731541985
274,hadibu,12.65,54.0333,24.93,62,43,3.67,YE,1731541987
275,arraial do cabo,-22.9661,-42.0278,21.83,86,100,9.09,BR,1731541988
276,dire,12.2833,-10.9667,24.5,48,95,1.14,ML,1731541989
277,sa'dah,16.9402,43.7639,13.05,29,9,1.93,YE,1731541990
278,baixo guandu,-19.5189,-41.0158,23.04,97,100,1.25,BR,1731541991
279,college,64.8569,-147.8028,-18.08,69,75,0.0,US,1731541992
280,katsuren-haebaru,26.3369,127.8719,27.01,86,75,3.09,JP,1731541993
281,abashiri,44.0213,144.2697,-0.84,80,20,3.09,JP,1731541994
282,hithadhoo,-0.6,73.0833,27.91,78,100,5.64,MV,1731541995
283,mejit,10.2753,170.8646,28.22,73,82,6.28,MH,1731541996
284,penukonda,14.0833,77.5833,21.55,91,99,2.1,IN,1731541998
285,uchiza,-8.4592,-76.4633,21.53,98,99,1.09,PE,1731541999
286,aykhal,66.0,111.5,-30.47,100,100,3.2,RU,1731542000
287,taoudenni,22.6783,-3.9836,24.33,17,33,2.14,ML,1731542001
288,salinopolis,-0.6136,-47.3561,26.81,80,1,6.59,BR,1731542002
289,usinsk,65.9939,57.5281,-6.31,96,100,7.18,RU,1731541966
290,lamu,-2.2717,40.902,26.57,81,18,3.74,KE,1731542004
291,bengkulu,-3.8004,102.2655,24.86,93,92,2.61,ID,1731542006
292,bathurst,-33.4166,149.5806,22.76,64,5,2.53,AU,1731542007
293,princeville,45.7668,-61.2985,1.4,71,40,8.23,CA,1731542008
294,atafu village,-8.5421,-172.5159,28.35,77,10,6.48,TK,1731542009
295,sisimiut,66.9395,-53.6735,-4.21,61,100,9.99,GL,1731542010
296,urazovo,50.0836,38.0395,1.1,72,100,1.09,RU,1731542011
297,codrington,-38.2667,141.9667,13.36,59,81,4.24,AU,1731542012
298,inhambane,-23.865,35.3833,23.1,85,98,5.86,MZ,1731542013
299,mpongwe,-13.5091,28.155,18.23,92,100,2.54,ZM,1731542015
300,queenstown,-31.8976,26.8753,10.79,83,100,2.97,ZA,1731542016
301,itaituba,-4.2761,-55.9836,24.53,93,100,0.98,BR,1731542017
302,laibin,23.7,109.2667,25.06,69,1,0.73,CN,1731542018
303,paoua,7.2427,16.4406,22.49,60,58,1.02,CF,1731542019
304,nogliki,51.8333,143.1667,-3.02,63,54,4.37,RU,1731542020
305,suriapet,17.15,79.6167,22.29,91,65,1.3,IN,1731542021
306,dazhou,31.2159,107.5009,16.18,94,96,0.35,CN,1731542023
307,punta del este,-34.9667,-54.95,16.6,71,0,0.51,UY,1731541945
308,minas de marcona,-15.2119,-75.1103,15.5,76,96,3.41,PE,1731542025
309,saint-pierre,-21.3393,55.4781,22.82,68,47,3.09,RE,1731542026
310,singaparna,-7.3515,108.111,24.81,81,99,0.07,ID,1731542027
311,tolanaro,-25.0319,46.9987,25.04,88,40,5.14,MG,1731542028
312,tralee,52.2704,-9.7026,8.61,96,86,1.33,IE,1731542029
313,sandnessjoen,66.0217,12.6316,5.61,71,100,15.02,NO,1731542030
314,hohhot,40.8106,111.6522,4.16,87,40,1.0,CN,1731542031
315,odacho-oda,35.1833,132.5,14.81,66,6,2.35,JP,1731542032
316,slavyanka,42.8633,131.3847,8.82,95,100,0.86,RU,1731542034
317,keflavik,64.0049,-22.5624,6.24,100,100,11.83,IS,1731542035
318,cambria,35.5641,-121.0808,17.25,63,31,2.68,US,1731542036
319,spring lake,35.1679,-78.9728,11.88,69,0,2.06,US,1731542037
320,ialibu,-6.2821,143.9935,20.86,68,47,1.44,PG,1731542038
321,mar del plata,-38.0023,-57.5575,18.3,75,0,5.81,AR,1731541908
322,toliara,-23.35,43.6667,22.54,87,23,4.94,MG,1731542040
323,ulsteinvik,62.3432,5.8487,9.86,79,86,2.24,NO,1731542044
324,lexington,37.9887,-84.4777,15.63,59,100,0.89,US,1731541805
325,oujda-angad,34.6805,-1.9076,13.35,94,40,0.51,MA,1731542046
326,whitby,54.4877,-0.615,11.6,91,100,2.24,GB,1731542047
327,gobabis,-22.45,18.9667,22.37,18,50,3.98,NA,1731542049
328,cabedelo,-6.9811,-34.8339,26.37,66,57,5.99,BR,1731542050
329,nha trang,12.25,109.1833,25.0,85,29,1.97,VN,1731542002
330,marathon,44.9,-89.7668,7.74,76,0,5.66,US,1731542053
331,magadan,59.5667,150.8,-15.12,72,50,4.43,RU,1731542054
332,gamay,12.3854,125.2979,26.67,85,100,2.47,PH,1731542055
333,baharly,38.4362,57.4316,5.84,59,86,4.44,TM,1731542056
334,hovd,48.0056,91.6419,-2.41,66,75,4.17,MN,1731542057
335,wisla,49.6563,18.8591,-1.76,83,87,0.95,PL,1731542058
336,tavricheskoye,54.5851,73.6395,-18.19,97,76,3.4,RU,1731542060
337,oytal,42.9057,73.2697,-2.94,87,87,0.62,KZ,1731542061
338,aristobulo del valle,-27.0963,-54.8963,16.62,55,0,1.74,AR,1731542062
339,mogadishu,2.0371,45.3438,26.87,80,37,2.49,SO,1731542063
340,sirpur,19.4833,79.6,18.19,69,31,2.58,IN,1731542064
341,burang,30.25,81.1667,-2.84,34,0,1.76,CN,1731542065
342,conduaga,8.862,117.4893,27.67,77,93,1.12,PH,1731542066
343,sirte,31.2089,16.5887,20.86,30,34,5.39,LY,1731542069
344,ierapetra,35.01,25.7353,17.86,69,100,0.93,GR,1731542070
345,zavolzhsk,57.4823,42.1378,0.68,89,100,4.29,RU,1731542071
346,christchurch,-43.5333,172.6333,17.17,83,40,6.17,NZ,1731541925
347,port saint john's,-31.6229,29.5448,17.12,82,100,2.95,ZA,1731542073
348,suva,-18.1416,178.4415,29.71,74,75,4.63,FJ,1731542074
349,bhadasar,28.2833,74.3167,21.18,28,0,3.86,IN,1731542075
350,tagta,41.6504,59.9164,-5.03,74,0,2.06,TM,1731542076
351,nadi,-17.8,177.4167,30.0,66,20,6.69,FJ,1731542077
352,petrolina,-9.3986,-40.5008,26.03,83,40,1.03,BR,1731541823
353,jinghong,21.991,100.7341,16.44,89,0,1.37,CN,1731542080
354,voss,60.623,6.4229,6.56,94,96,2.39,NO,1731542081
355,nizhniy kuranakh,58.8353,125.4869,-13.28,92,100,3.92,RU,1731542082
356,uturoa,-16.7333,-151.4333,25.81,76,57,8.21,PF,1731542083
357,wyndham,37.6985,-77.6125,6.7,75,0,0.0,US,1731542084
358,tevriz,57.509,72.4042,-20.19,100,69,1.03,RU,1731542085
359,puerto ayacucho,5.6639,-67.6236,26.89,79,91,2.69,VE,1731542036
360,maloye ganyushkino,46.6,49.2667,3.51,73,64,2.06,KZ,1731542087
